,0,1,2,3,4,5
0,6.310876,-2.6414375,-4.941054,0.9153474,2.11654,-6.3793445
1,7.2799153,-3.064099,-5.8275547,1.1311573,2.528047,-7.4443784
2,5.597891,-2.1952488,-4.734482,0.9055278,2.2224543,-6.171689
3,6.743601,-2.6718285,-5.6965027,1.0935004,2.700077,-7.383774
4,5.806184,-2.2465081,-5.135867,1.025784,2.5350924,-6.656557
5,6.3753824,-2.6281934,-5.978986,1.3475394,3.0568228,-7.563374
6,8.36259,-3.6372502,-6.53027,1.2455425,2.8551822,-8.294089
7,6.495098,-2.667894,-5.2637143,0.9571921,2.4875977,-6.731934
8,5.972574,-2.4091034,-5.1475506,1.0385884,2.4814825,-6.5313716
9,7.981121,-3.5972748,-6.851761,1.5533227,3.1170187,-8.351101
10,6.633186,-3.0516765,-6.345905,1.6700338,2.9882853,-7.5651755
11,6.5034595,-2.8896086,-6.4155946,1.7549231,2.9406438,-7.592782
12,7.686219,-3.2541857,-7.419089,2.0623615,2.9394715,-8.593244
13,8.169367,-3.6557512,-8.13337,2.367794,3.4117026,-9.409067
14,8.136897,-3.4461057,-7.435645,2.0346708,2.6725433,-8.566457
15,7.8961535,-3.2665064,-7.2322545,1.9662257,2.6599956,-8.4457855
16,7.219757,-2.8920076,-6.0751967,1.446629,2.2199678,-7.3264117
17,8.451227,-3.3399847,-6.982461,1.6100522,2.503063,-8.460649
18,7.962675,-3.0674582,-6.6913457,1.5353322,2.4409668,-8.126653
19,8.710998,-3.6862473,-7.4486923,1.9791006,2.3963315,-8.6826725
20,7.0995374,-3.1432662,-6.626883,2.0222156,2.0775259,-7.47029
21,7.5870404,-3.3492827,-6.9622226,2.093994,2.1408358,-7.8600836
22,6.6313105,-3.213448,-7.055478,2.5472765,2.1760182,-7.6096783
23,6.2721734,-3.1836846,-7.1861577,2.7952883,2.0939648,-7.494291
24,6.8196077,-3.3502245,-7.826431,2.9955873,2.3309433,-8.202282
25,5.747095,-2.8128207,-6.7061,2.5785897,1.9325926,-6.9187403
26,6.565367,-2.9777803,-7.543575,2.7640002,2.261083,-7.9653077
27,5.823807,-2.2158303,-6.2624497,2.009864,1.9506218,-6.8996463
28,7.6839333,-3.2367263,-8.010108,2.663958,2.3202257,-8.675817
29,6.531384,-2.3234065,-6.7427573,2.0371187,2.065052,-7.565152
30,6.9995766,-2.3112752,-6.6201944,1.7607344,2.0104437,-7.65837
